代码	名称	细分行业	地区	上市日期
002087	新野纺织	纺织	河南	20061130
002088	鲁阳节能	矿物制品	山东	20061130
002089	新 海 宜	通信设备	江苏	20061130
002090	金智科技	软件服务	江苏	20061208
002091	江苏国泰	商贸代理	江苏	20061208
002092	中泰化学	化工原料	新疆	20061208
002093	国脉科技	电信运营	福建	20061215
002094	青岛金王	日用化工	山东	20061215
002095	生 意 宝	互联网	浙江	20061215
002096	南岭民爆	化工原料	湖南	20061222
002097	山河智能	工程机械	湖南	20061222
002098	浔兴股份	服饰	福建	20061222
002099	海翔药业	化学制药	浙江	20061226
002100	天康生物	饲料	新疆	20061226
002101	广东鸿图	机械基件	广东	20061229
002102	冠福股份	化学制药	福建	20061229
002103	广博股份	文教休闲	浙江	20070110
002104	恒宝股份	元器件	江苏	20070110
002105	信隆健康	文教休闲	深圳	20070112
002106	莱宝高科	元器件	深圳	20070112
002107	沃华医药	中成药	山东	20070124
002108	沧州明珠	塑料	河北	20070124
002109	*ST兴化	化工原料	陕西	20070126
002110	三钢闽光	普钢	福建	20070126
002111	威海广泰	航空	山东	20070126
002112	三变科技	电气设备	浙江	20070208
002113	天润数娱	互联网	湖南	20070208
002114	罗平锌电	铅锌	云南	20070215
002115	三维通信	通信设备	浙江	20070215
002116	中国海诚	建筑施工	上海	20070215
002117	东港股份	广告包装	山东	20070302
002118	紫鑫药业	中成药	吉林	20070302
002119	康强电子	半导体	浙江	20070302
002120	韵达股份	仓储物流	浙江	20070306
002121	科陆电子	电器仪表	深圳	20070306
002122	天马股份	机械基件	浙江	20070328
002123	梦网荣信	互联网	辽宁	20070328
002124	天邦股份	饲料	浙江	20070403
002125	湘潭电化	化工原料	湖南	20070403
002126	银轮股份	汽车配件	浙江	20070418
002127	南极电商	互联网	江苏	20070418
002128	露天煤业	煤炭开采	内蒙	20070418
002129	中环股份	半导体	天津	20070420
002130	沃尔核材	电气设备	深圳	20070420
002131	利欧股份	互联网	浙江	20070427
002132	恒星科技	钢加工	河南	20070427
002133	广宇集团	全国地产	浙江	20070427
002134	天津普林	元器件	天津	20070516
002135	东南网架	建筑施工	浙江	20070530
002136	安 纳 达	化工原料	安徽	20070530
002137	麦达数字	元器件	深圳	20070613
002138	顺络电子	元器件	深圳	20070613
002139	拓邦股份	元器件	深圳	20070629
002140	东华科技	建筑施工	安徽	20070712
002141	贤丰控股	元器件	广东	20070720
002142	宁波银行	银行	浙江	20070719
002143	印纪传媒	影视音像	四川	20070720
002144	宏达高科	纺织	浙江	20070803
002145	中核钛白	化工原料	甘肃	20070803
002146	荣盛发展	全国地产	河北	20070808
002147	新光圆成	机械基件	安徽	20070808
002148	北纬通信	互联网	北京	20070810
002149	西部材料	小金属	陕西	20070810
002150	通润装备	机械基件	江苏	20070810
002151	北斗星通	通信设备	北京	20070813
002152	广电运通	电脑设备	广东	20070813
002153	石基信息	软件服务	北京	20070813
002154	报 喜 鸟	服饰	浙江	20070816
002155	湖南黄金	黄金	湖南	20070816
002156	通富微电	半导体	江苏	20070816
002157	正邦科技	饲料	江西	20070817
002158	汉钟精机	工程机械	上海	20070817
002159	三特索道	旅游景点	湖北	20070817
002160	常铝股份	铝	江苏	20070821
002161	远 望 谷	通信设备	深圳	20070821
002162	悦心健康	医疗保健	上海	20070823
002163	中航三鑫	装修装饰	深圳	20070823
002164	宁波东力	电气设备	浙江	20070823
002165	红 宝 丽	化工原料	江苏	20070913
002166	莱茵生物	中成药	广西	20070913
002167	东方锆业	小金属	广东	20070913
002168	深圳惠程	电气设备	深圳	20070919
002169	智光电气	电气设备	广东	20070919
002170	芭田股份	农药化肥	深圳	20070919
002171	楚江新材	铜	安徽	20070921
002172	澳洋科技	化纤	江苏	20070921
002173	*ST创疗	农业综合	浙江	20070925
002174	游族网络	互联网	福建	20070925
002175	东方网络	电器仪表	广西	20071012
002176	江特电机	电气设备	江西	20071012
002177	御银股份	电脑设备	广东	20071101
002178	延华智能	建筑施工	上海	20071101
002179	中航光电	元器件	河南	20071101
